c,network_id,pair_id,Location,Site,Management,Treatment,total_flux,S_full,S_het,S_Ftot,dominant_real_eigenvalue,reactivity
0.001,De_S1_Ex_C_d0,De_S1_Ex,De,S1,Ex,C,458.31861020913436,43.168039064226264,-95.70012611005595,147.06155034567675,-8.62231596538878e-06,0.17463372273106212
0.001,De_S1_Ex_D_d0,De_S1_Ex,De,S1,Ex,D,374.3089229974136,42.8134494195193,-97.14492512893582,142.20195489085845,-6.281828513642643e-06,0.18185791680595625
0.001,De_S1_In_C_d0,De_S1_In,De,S1,In,C,603.1494151688536,35.29628723780607,-115.60369671096703,153.6519588571894,-2.648450924638223e-06,0.1775733078509752
0.001,De_S1_In_D_d0,De_S1_In,De,S1,In,D,831.5627023087776,49.6606144204892,-112.9637508519601,161.35936090702796,-6.500935271606232e-06,0.188151553829742
0.001,De_S2_Ex_C_d0,De_S2_Ex,De,S2,Ex,C,1028.188758386956,50.711212213172274,-113.09499318167994,166.45329711041967,-3.909221122601161e-06,0.16915402951087422
0.001,De_S2_Ex_D_d0,De_S2_Ex,De,S2,Ex,D,739.3744299075898,56.54396706253864,-102.04744150790273,158.5393071284636,-3.936530491085098e-06,0.1816913219940283
0.001,De_S2_In_C_d0,De_S2_In,De,S2,In,C,711.5517148464384,40.759666380370916,-114.01560417488274,157.6187543794113,-1.921737777111902e-06,0.1794834654180425
0.001,De_S2_In_D_d0,De_S2_In,De,S2,In,D,654.8318535726085,38.622654984816535,-112.93854285783065,155.62508377382812,-1.914397399435399e-06,0.18825023253665898
0.001,De_S3_Ex_C_d0,De_S3_Ex,De,S3,Ex,C,1109.8509804681303,43.72973694459648,-122.38477012904558,168.2875448031188,-3.1369502392624436e-06,0.17021404512984306
0.001,De_S3_Ex_D_d0,De_S3_Ex,De,S3,Ex,D,835.0728922813744,46.36788530328701,-112.00147811258435,161.46045641246707,-1.0576376165764292e-05,0.18229178619255518
0.001,De_S3_In_C_d0,De_S3_In,De,S3,In,C,1002.2963543336183,40.98612061573153,-121.38946743665679,165.84117601736676,-9.93605388261401e-07,0.17580099715474823
0.001,De_S3_In_D_d0,De_S3_In,De,S3,In,D,1417.2721112890918,43.80157565869038,-125.62973287809555,174.15574211105556,-9.734429749643052e-07,0.17874695083509218
0.001,De_S4_Ex_C_d0,De_S4_Ex,De,S4,Ex,C,807.0540692442466,43.29347190599531,-114.59006371398594,160.64137599187654,-4.738606346760826e-06,0.17267201524666217
0.001,De_S4_Ex_D_d0,De_S4_Ex,De,S4,Ex,D,1053.6322038349297,61.18466587308092,-102.88318774149707,167.03996917163659,-3.326991986781352e-05,0.17852450339794132
0.001,De_S4_In_C_d0,De_S4_In,De,S4,In,C,786.5285961856132,34.73658369257825,-124.511335534361,160.02309793497378,-9.7033332258821e-07,0.18110135467385097
0.001,De_S4_In_D_d0,De_S4_In,De,S4,In,D,878.2544971940221,45.235134435757786,-116.62861907621246,162.67047388232763,-7.846589128700132e-07,0.18072554492358886
0.001,De_S5_Ex_C_d0,De_S5_Ex,De,S5,Ex,C,885.6229020038102,38.53328000237619,-120.15677290361904,162.870989795951,-2.9785790434106365e-06,0.1679141101493585
0.001,De_S5_Ex_D_d0,De_S5_Ex,De,S5,Ex,D,702.1007150647036,47.20781446396161,-107.93417026890187,157.297844699719,-4.019092781315045e-06,0.17930393738911965
0.001,De_S5_In_C_d0,De_S5_In,De,S5,In,C,392.8454190433049,16.803454795194426,-121.48796986151743,143.36198876939486,-1.920963319063797e-06,0.17798889692055975
0.001,De_S5_In_D_d0,De_S5_In,De,S5,In,D,641.4413938047201,44.33549695491939,-110.31721809185595,155.12922772374282,-3.2503618466052094e-06,0.1869733747414767
0.001,Sc_S1_Ex_C_d0,Sc_S1_Ex,Sc,S1,Ex,C,373.7465258288229,18.003045474407827,-124.77432307195585,142.16586790129,-2.567053630644532e-06,0.14819300545147487
0.001,Sc_S1_Ex_D_d0,Sc_S1_Ex,Sc,S1,Ex,D,246.0758540760555,4.1903076816559945,-121.68020734496139,132.1353561193192,-2.321756145136852e-06,0.15570943522323527
0.001,Sc_S1_In_C_d0,Sc_S1_In,Sc,S1,In,C,367.3025040329647,21.659274060691377,-120.34461452171611,141.74845848498427,-1.4525869702695958e-06,0.1431957747962938
0.001,Sc_S1_In_D_d0,Sc_S1_In,Sc,S1,In,D,390.0669900760297,24.06419352649511,-113.92120702094931,143.19164385116954,-2.7767629192082674e-09,0.14862046055292913
0.001,Sc_S2_Ex_C_d0,Sc_S2_Ex,Sc,S2,Ex,C,281.88211515740466,9.010421336686772,-122.81100049277728,135.39573485236625,-3.136845374674257e-06,0.14119540607713518
0.001,Sc_S2_Ex_D_d0,Sc_S2_Ex,Sc,S2,Ex,D,164.30727342316254,5.3070618003710095,-113.19197263837248,122.44171903738642,-1.7228020843543113e-06,0.15437037945823423
0.001,Sc_S2_In_C_d0,Sc_S2_In,Sc,S2,In,C,283.1615085807475,,-114.69767203998714,135.50441847728905,-7.452663516698723e-07,0.14420224027417378
0.001,Sc_S2_In_D_d0,Sc_S2_In,Sc,S2,In,D,179.418935140756,2.83189426816822,-116.08352475909635,124.55336378651806,-3.625364501154466e-06,0.14598556608986601
0.001,Sc_S3_Ex_C_d0,Sc_S3_Ex,Sc,S3,Ex,C,334.59311308528805,18.419223596533215,-117.78355693987643,139.50996493944913,-4.038808150764931e-06,0.14296932463363177
0.001,Sc_S3_Ex_D_d0,Sc_S3_Ex,Sc,S3,Ex,D,135.08931915803117,11.141704958771651,-105.52995082357499,117.74246839331974,-2.2546616803000476e-06,0.1560155730923698
0.001,Sc_S3_In_C_d0,Sc_S3_In,Sc,S3,In,C,549.7299772397863,14.773759786827165,-138.34282024933907,151.4262529727462,-1.4629131848439605e-06,0.1410705399491668
0.001,Sc_S3_In_D_d0,Sc_S3_In,Sc,S3,In,D,691.6586285648898,33.72504517423306,-118.53480662050075,156.93822054185267,-1.4836350714742688e-05,0.14730281033297232
0.001,Sc_S4_Ex_C_d0,Sc_S4_Ex,Sc,S4,Ex,C,171.44119732922593,9.893743707811975,-111.23370187410582,123.46176804229971,-5.905339881433286e-07,0.14541269246376737
0.001,Sc_S4_Ex_D_d0,Sc_S4_Ex,Sc,S4,Ex,D,269.95524640482114,33.55310404690299,-98.790951390623,134.35814858888244,-3.4632813293204473e-06,0.1592132930413664
0.001,Sc_S4_In_C_d0,Sc_S4_In,Sc,S4,In,C,474.67000884446276,17.1903770394109,-126.17889331289527,147.90287626521433,-1.005654229967217e-06,0.14345765169240565
0.001,Sc_S4_In_D_d0,Sc_S4_In,Sc,S4,In,D,264.02285610688756,16.311775755970626,-113.89243876195832,133.82485621347047,-3.848668959989681e-06,0.14745704541900695
0.001,Sc_S5_Ex_C_d0,Sc_S5_Ex,Sc,S5,Ex,C,271.28017278480036,7.141629746007947,-119.19054072067364,134.47565123379343,-4.148325650023046e-06,0.14156251092626246
0.001,Sc_S5_Ex_D_d0,Sc_S5_Ex,Sc,S5,Ex,D,314.36861604973427,12.579271798326962,-126.17301995340688,138.01358961234644,-2.6351879657242763e-06,0.14789207597287382
0.001,Sc_S5_In_C_d0,Sc_S5_In,Sc,S5,In,C,951.6738285197613,49.71611931820866,-128.55437192382192,164.59733661560702,-1.8372718693736333e-06,0.143488429367968
0.001,Sc_S5_In_D_d0,Sc_S5_In,Sc,S5,In,D,680.1876761784206,47.2724411369445,-109.73892980912736,156.53685010729777,-4.2849821178709175e-06,0.14849507177891733
0.001,Yo_S1_Ex_C_d0,Yo_S1_Ex,Yo,S1,Ex,C,507.147564593793,27.72351311975936,-117.83152359283899,149.4912483760485,-2.292162264092938e-06,0.1550762250251507
0.001,Yo_S1_Ex_D_d0,Yo_S1_Ex,Yo,S1,Ex,D,498.74520923829414,37.12388575452678,-108.8765990581354,149.09028870289643,-3.803402284006598e-06,0.15709875888829863
0.001,Yo_S1_In_C_d0,Yo_S1_In,Yo,S1,In,C,336.05112399349713,25.892914620476414,-109.81815280158037,139.6143192751535,-2.2107306420662594e-06,0.151262788929602
0.001,Yo_S1_In_D_d0,Yo_S1_In,Yo,S1,In,D,506.13713172806956,38.98818620011278,-110.04347297746239,149.44338345337985,-5.896982701893524e-06,0.1499032498329861
0.001,Yo_S2_Ex_C_d0,Yo_S2_Ex,Yo,S2,Ex,C,431.5733986533909,23.64882065802458,-115.89475739440499,145.61850233338865,-4.638915237841142e-06,0.15468970815112604
0.001,Yo_S2_Ex_D_d0,Yo_S2_Ex,Yo,S2,Ex,D,362.5460216124038,32.52500300467071,-107.69996398929544,141.435634137807,-4.404476753648314e-06,0.15418425182013484
0.001,Yo_S2_In_C_d0,Yo_S2_In,Yo,S2,In,C,360.88574782189414,22.058774170569798,-113.40597246653894,141.32547408508756,-3.1698180646688867e-06,0.14904765646099855
0.001,Yo_S2_In_D_d0,Yo_S2_In,Yo,S2,In,D,229.75975751139114,25.94958923168049,-104.08809270200548,130.4888215310332,-4.486462196365293e-06,0.1548454049914822
0.001,Yo_S3_Ex_C_d0,Yo_S3_Ex,Yo,S3,Ex,C,431.01647522429573,24.51045300075377,-113.74363955502598,145.58751155883795,-1.6227022955026411e-06,0.16123955075205976
0.001,Yo_S3_Ex_D_d0,Yo_S3_Ex,Yo,S3,Ex,D,670.454749005702,52.52854911312711,-102.93307670721343,156.19094908827188,-5.98230611796816e-06,0.15954458130760613
0.001,Yo_S3_In_D_d0,Yo_S3_In,Yo,S3,In,D,358.6572009074151,30.996913228575885,-106.57795564039807,141.17680944439874,-9.918898151514278e-06,0.15189513645980526
0.001,Yo_S4_Ex_C_d0,Yo_S4_Ex,Yo,S4,Ex,C,567.6837082500161,42.69092616703577,-109.8970468520908,152.19754588678012,-4.60098603063813e-06,0.16331597203690248
