subset,relationship,c,n_valid,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
all,S_Ftot vs dominant_real_eigenvalue,0.001,59.0,-0.23314510184269635,0.0755544837519573,-0.12969023962594975,0.32758094755241285,-8.968061633587492e-08,8.882779006720368e-06,0.054356638513241254
all,S_Ftot vs dominant_real_eigenvalue,0.0025,58.0,-0.23665859408894035,0.07367824041613522,-0.1492817373650374,0.2633842810389766,-2.1708896213860396e-07,2.174700764960474e-05,0.05600729015615386
all,S_Ftot vs dominant_real_eigenvalue,0.005,59.0,-0.2257497203548704,0.08558057681053856,-0.15201636469900645,0.25040292349796317,-3.730050044270228e-07,3.5009181693790116e-05,0.050962936240302174
all,S_Ftot vs dominant_real_eigenvalue,0.0075,59.0,-0.21688330237200787,0.09894856601407485,-0.14523670368205732,0.27240234487318543,-4.6690061329338265e-07,4.0514956069882875e-05,0.04703836684778775
all,S_Ftot vs dominant_real_eigenvalue,0.01,59.0,-0.20862236492853645,0.11281303736297318,-0.1448275862068966,0.27376984111400954,-5.589654746312055e-07,4.58437833429352e-05,0.043523291148375436
all,S_Ftot vs dominant_real_eigenvalue,0.015,59.0,-0.20027410433382428,0.12829121283070882,-0.13302162478082993,0.3152007505618122,-7.378789169056546e-07,5.650917021884896e-05,0.04010971686671552
all,S_Ftot vs dominant_real_eigenvalue,0.02,59.0,-0.1985505609217716,0.13167791769260243,-0.13302162478082993,0.3152007505618122,-9.144314437045344e-07,6.799229476979123e-05,0.039422325242350134
all,S_Ftot vs dominant_real_eigenvalue,0.03,58.0,-0.19613551358275946,0.14005627400809686,-0.12405795318219572,0.35350037607078755,-1.2367792681027207e-06,8.808785920897323e-05,0.03846913968837281
all,S_Ftot vs dominant_real_eigenvalue,0.05,59.0,-0.19556730593768545,0.13769868371509683,-0.13302162478082993,0.3152007505618122,-1.8192531344980445e-06,0.000123341630085513,0.03824657115172422
all,S_Ftot vs reactivity,0.001,59.0,0.5355740872209146,1.2370305559611042e-05,0.5338983050847459,1.3325137807094392e-05,0.0006096614731000969,0.06954056881280558,0.2868396029025155
all,S_Ftot vs reactivity,0.0025,58.0,0.552738569163294,6.82669000225404e-06,0.5797471469439233,1.852176540086763e-06,0.0005596089004115669,0.06720430598225828,0.3055199258406853
